step,method,q,seed,ablation,policy_mean_effort,theoretical_effort,effort_error
0,TEL-PPO,35.0,42,baseline,48.35102558135986,45.45454545454545,2.89648012681441
4096,TEL-PPO,35.0,42,baseline,48.00914525985718,45.45454545454545,2.5545998053117245
8192,TEL-PPO,35.0,42,baseline,47.58239686489105,45.45454545454545,2.127851410345599
12288,TEL-PPO,35.0,42,baseline,47.240179777145386,45.45454545454545,1.7856343225999325
16384,TEL-PPO,35.0,42,baseline,46.88454866409302,45.45454545454545,1.4300032095475643
20480,TEL-PPO,35.0,42,baseline,46.67429327964783,45.45454545454545,1.219747825102374
24576,TEL-PPO,35.0,42,baseline,46.29862904548645,45.45454545454545,0.8440835909409969
28672,TEL-PPO,35.0,42,baseline,46.041539311409,45.45454545454545,0.5869938568635433
32768,TEL-PPO,35.0,42,baseline,45.776790380477905,45.45454545454545,0.322244925932452
36864,TEL-PPO,35.0,42,baseline,45.52867412567139,45.45454545454545,0.07412867112593347
40960,TEL-PPO,35.0,42,baseline,45.23980915546417,45.45454545454545,0.2147362990812809
45056,TEL-PPO,35.0,42,baseline,44.96539831161499,45.45454545454545,0.489147142930463
49152,TEL-PPO,35.0,42,baseline,44.77953016757965,45.45454545454545,0.6750152869658024
53248,TEL-PPO,35.0,42,baseline,44.50202286243439,45.45454545454545,0.952522592111066
57344,TEL-PPO,35.0,42,baseline,44.218966364860535,45.45454545454545,1.2355790896849186
61440,TEL-PPO,35.0,42,baseline,44.03439164161682,45.45454545454545,1.420153812928632
65536,TEL-PPO,35.0,42,baseline,44.04537379741669,45.45454545454545,1.4091716571287662
69632,TEL-PPO,35.0,42,baseline,43.89778673648834,45.45454545454545,1.556758718057111
73728,TEL-PPO,35.0,42,baseline,44.065266847610474,45.45454545454545,1.3892786069349796
77824,TEL-PPO,35.0,42,baseline,44.42921578884125,45.45454545454545,1.0253296657042057
81920,TEL-PPO,35.0,42,baseline,44.475990533828735,45.45454545454545,0.9785549207167179
86016,TEL-PPO,35.0,42,baseline,44.650861620903015,45.45454545454545,0.8036838336424381
90112,TEL-PPO,35.0,42,baseline,44.78098154067993,45.45454545454545,0.6735639138655216
94208,TEL-PPO,35.0,42,baseline,44.753497838974,45.45454545454545,0.7010476155714542
98304,TEL-PPO,35.0,42,baseline,44.51117813587189,45.45454545454545,0.943367318673566
102400,TEL-PPO,35.0,42,baseline,44.14632320404053,45.45454545454545,1.308222250504926
106496,TEL-PPO,35.0,42,baseline,44.085705280303955,45.45454545454545,1.3688401742414982
110592,TEL-PPO,35.0,42,baseline,43.79630088806152,45.45454545454545,1.6582445664839298
114688,TEL-PPO,35.0,42,baseline,43.47525238990784,45.45454545454545,1.9792930646376163
118784,TEL-PPO,35.0,42,baseline,43.155744671821594,45.45454545454545,2.298800782723859
122880,TEL-PPO,35.0,42,baseline,43.203434348106384,45.45454545454545,2.251111106439069
126976,TEL-PPO,35.0,42,baseline,43.398451805114746,45.45454545454545,2.056093649430707
131072,TEL-PPO,35.0,42,baseline,43.19622814655304,45.45454545454545,2.2583173079924137
135168,TEL-PPO,35.0,42,baseline,43.52932870388031,45.45454545454545,1.9252167506651432
139264,TEL-PPO,35.0,42,baseline,43.81771981716156,45.45454545454545,1.6368256373838932
143360,TEL-PPO,35.0,42,baseline,43.52164268493652,45.45454545454545,1.9329027696089298
147456,TEL-PPO,35.0,42,baseline,43.4628963470459,45.45454545454545,1.9916491074995548
151552,TEL-PPO,35.0,42,baseline,43.92240345478058,45.45454545454545,1.5321419997648746
155648,TEL-PPO,35.0,42,baseline,44.197484850883484,45.45454545454545,1.2570606036619694
159744,TEL-PPO,35.0,42,baseline,44.37519907951355,45.45454545454545,1.0793463750319034
163840,TEL-PPO,35.0,42,baseline,44.27053928375244,45.45454545454545,1.1840061707930118
167936,TEL-PPO,35.0,42,baseline,44.15426254272461,45.45454545454545,1.3002829118208439
172032,TEL-PPO,35.0,42,baseline,44.278669357299805,45.45454545454545,1.1758760972456486
176128,TEL-PPO,35.0,42,baseline,43.75912547111511,45.45454545454545,1.695419983430341
180224,TEL-PPO,35.0,42,baseline,43.595823645591736,45.45454545454545,1.8587218089537174
184320,TEL-PPO,35.0,42,baseline,43.23750436306,45.45454545454545,2.2170410914854557
188416,TEL-PPO,35.0,42,baseline,43.03784668445587,45.45454545454545,2.4166987700895817
192512,TEL-PPO,35.0,42,baseline,43.35229992866516,45.45454545454545,2.102245525880292
196608,TEL-PPO,35.0,42,baseline,43.356773257255554,45.45454545454545,2.097772197289899
0,TEL-PPO,35.0,43,baseline,54.68367338180542,45.45454545454545,9.229127927259967
4096,TEL-PPO,35.0,43,baseline,54.19354438781738,45.45454545454545,8.73899893327193
8192,TEL-PPO,35.0,43,baseline,53.674304485321045,45.45454545454545,8.219759030775592
12288,TEL-PPO,35.0,43,baseline,53.25543284416199,45.45454545454545,7.800887389616534
16384,TEL-PPO,35.0,43,baseline,52.7269721031189,45.45454545454545,7.272426648573443
20480,TEL-PPO,35.0,43,baseline,52.31322646141052,45.45454545454545,6.858681006865069
24576,TEL-PPO,35.0,43,baseline,51.96342468261719,45.45454545454545,6.508879228071734
28672,TEL-PPO,35.0,43,baseline,51.60169005393982,45.45454545454545,6.147144599394366
32768,TEL-PPO,35.0,43,baseline,51.116615533828735,45.45454545454545,5.662070079283282
36864,TEL-PPO,35.0,43,baseline,50.708162784576416,45.45454545454545,5.253617330030963
40960,TEL-PPO,35.0,43,baseline,50.2494752407074,45.45454545454545,4.794929786161944
45056,TEL-PPO,35.0,43,baseline,50.13880133628845,45.45454545454545,4.684255881742999
49152,TEL-PPO,35.0,43,baseline,49.75886046886444,45.45454545454545,4.304315014318988
53248,TEL-PPO,35.0,43,baseline,49.391284584999084,45.45454545454545,3.936739130453631
57344,TEL-PPO,35.0,43,baseline,49.330708384513855,45.45454545454545,3.8761629299684017
61440,TEL-PPO,35.0,43,baseline,48.96816611289978,45.45454545454545,3.513620658354327
65536,TEL-PPO,35.0,43,baseline,48.60875904560089,45.45454545454545,3.154213591055438
69632,TEL-PPO,35.0,43,baseline,48.356494307518005,45.45454545454545,2.901948852972552
73728,TEL-PPO,35.0,43,baseline,48.25460612773895,45.45454545454545,2.8000606731934994
77824,TEL-PPO,35.0,43,baseline,48.11219871044159,45.45454545454545,2.657653255896136
81920,TEL-PPO,35.0,43,baseline,47.75189161300659,45.45454545454545,2.2973461584611385
86016,TEL-PPO,35.0,43,baseline,47.5314736366272,45.45454545454545,2.076928182081744
90112,TEL-PPO,35.0,43,baseline,47.214895486831665,45.45454545454545,1.7603500322862118
94208,TEL-PPO,35.0,43,baseline,46.88631296157837,45.45454545454545,1.4317675070329159
98304,TEL-PPO,35.0,43,baseline,46.66025936603546,45.45454545454545,1.2057139114900082
102400,TEL-PPO,35.0,43,baseline,46.78534269332886,45.45454545454545,1.3307972387834042
106496,TEL-PPO,35.0,43,baseline,46.408891677856445,45.45454545454545,0.9543462233109921
110592,TEL-PPO,35.0,43,baseline,46.05262875556946,45.45454545454545,0.5980833010240048
114688,TEL-PPO,35.0,43,baseline,46.00822627544403,45.45454545454545,0.5536808208985775
118784,TEL-PPO,35.0,43,baseline,45.64153254032135,45.45454545454545,0.18698708577589684
122880,TEL-PPO,35.0,43,baseline,45.518797636032104,45.45454545454545,0.06425218148665124
126976,TEL-PPO,35.0,43,baseline,45.77288627624512,45.45454545454545,0.31834082169966393
131072,TEL-PPO,35.0,43,baseline,45.355600118637085,45.45454545454545,0.09894533590836829
135168,TEL-PPO,35.0,43,baseline,45.02077102661133,45.45454545454545,0.43377442793412513
139264,TEL-PPO,35.0,43,baseline,44.75875496864319,45.45454545454545,0.6957904859022648
143360,TEL-PPO,35.0,43,baseline,45.00194787979126,45.45454545454545,0.4525975747541935
147456,TEL-PPO,35.0,43,baseline,44.70765292644501,45.45454545454545,0.7468925281004459
151552,TEL-PPO,35.0,43,baseline,44.56001818180084,45.45454545454545,0.894527272744611
155648,TEL-PPO,35.0,43,baseline,44.843390583992004,45.45454545454545,0.6111548705534489
159744,TEL-PPO,35.0,43,baseline,44.50560212135315,45.45454545454545,0.9489433331923038
163840,TEL-PPO,35.0,43,baseline,44.183775782585144,45.45454545454545,1.2707696719603092
167936,TEL-PPO,35.0,43,baseline,44.34678554534912,45.45454545454545,1.1077599091963322
172032,TEL-PPO,35.0,43,baseline,43.943947553634644,45.45454545454545,1.5105979009108097
176128,TEL-PPO,35.0,43,baseline,44.18714940547943,45.45454545454545,1.267396049066022
180224,TEL-PPO,35.0,43,baseline,44.55008506774902,45.45454545454545,0.9044603867964298
184320,TEL-PPO,35.0,43,baseline,44.84662711620331,45.45454545454545,0.6079183383421451
188416,TEL-PPO,35.0,43,baseline,44.53982710838318,45.45454545454545,0.9147183461622745
192512,TEL-PPO,35.0,43,baseline,44.80853080749512,45.45454545454545,0.6460146470503361
196608,TEL-PPO,35.0,43,baseline,44.61164474487305,45.45454545454545,0.8429007096724064
200704,TEL-PPO,35.0,43,baseline,44.43011283874512,45.45454545454545,1.024432615800336
204800,TEL-PPO,35.0,43,baseline,44.25083100795746,45.45454545454545,1.2037144465879948
208896,TEL-PPO,35.0,43,baseline,43.946731090545654,45.45454545454545,1.507814363999799
212992,TEL-PPO,35.0,43,baseline,44.105467200279236,45.45454545454545,1.3490782542662174
