step,method,q,seed,ablation,alpha_mean,beta_mean
425984,TEL-PPO,25.0,50,baseline,6595.06,8465.31
430080,TEL-PPO,25.0,50,baseline,6606.73,8485.93
434176,TEL-PPO,25.0,50,baseline,6636.7,8516.43
438272,TEL-PPO,25.0,50,baseline,6656.46,8548.89
442368,TEL-PPO,25.0,50,baseline,6667.57,8590.66
446464,TEL-PPO,25.0,50,baseline,6649.9,8622.95
450560,TEL-PPO,25.0,50,baseline,6662.91,8666.64
454656,TEL-PPO,25.0,50,baseline,6687.52,8690.69
458752,TEL-PPO,25.0,50,baseline,6714.01,8679.24
462848,TEL-PPO,25.0,50,baseline,6721.95,8699.93
466944,TEL-PPO,25.0,50,baseline,6704.66,8723.82
471040,TEL-PPO,25.0,50,baseline,6726.93,8742.75
475136,TEL-PPO,25.0,50,baseline,6753.72,8761.25
479232,TEL-PPO,25.0,50,baseline,6778.69,8767.14
483328,TEL-PPO,25.0,50,baseline,6807.44,8782.74
487424,TEL-PPO,25.0,50,baseline,6794.35,8818.43
491520,TEL-PPO,25.0,50,baseline,6779.88,8838.91
495616,TEL-PPO,25.0,50,baseline,6797.93,8896.33
499712,TEL-PPO,25.0,50,baseline,6853.72,8935.5
503808,TEL-PPO,25.0,50,baseline,6902.94,8972.14
507904,TEL-PPO,25.0,50,baseline,6931.17,8973.38
512000,TEL-PPO,25.0,50,baseline,6945.0,9006.23
516096,TEL-PPO,25.0,50,baseline,6972.33,9020.7
520192,TEL-PPO,25.0,50,baseline,6977.04,9044.99
524288,TEL-PPO,25.0,50,baseline,6991.54,9059.52
528384,TEL-PPO,25.0,50,baseline,6996.45,9085.26
532480,TEL-PPO,25.0,50,baseline,7014.3,9118.66
536576,TEL-PPO,25.0,50,baseline,7039.77,9133.74
540672,TEL-PPO,25.0,50,baseline,7067.41,9119.65
544768,TEL-PPO,25.0,50,baseline,7094.7,9110.96
548864,TEL-PPO,25.0,50,baseline,7082.41,9135.7
552960,TEL-PPO,25.0,50,baseline,7099.67,9133.8
557056,TEL-PPO,25.0,50,baseline,7125.53,9113.97
561152,TEL-PPO,25.0,50,baseline,7156.83,9110.53
565248,TEL-PPO,25.0,50,baseline,7167.06,9150.56
569344,TEL-PPO,25.0,50,baseline,7180.89,9170.98
0,TEL-PPO,40.0,42,baseline,91.57,88.16
4096,TEL-PPO,40.0,42,baseline,89.43,90.79
8192,TEL-PPO,40.0,42,baseline,87.26,93.42
12288,TEL-PPO,40.0,42,baseline,85.09,96.06
16384,TEL-PPO,40.0,42,baseline,82.44,99.18
20480,TEL-PPO,40.0,42,baseline,79.77,102.26
24576,TEL-PPO,40.0,42,baseline,77.48,104.72
28672,TEL-PPO,40.0,42,baseline,75.67,106.7
32768,TEL-PPO,40.0,42,baseline,73.46,109.17
36864,TEL-PPO,40.0,42,baseline,70.82,112.02
40960,TEL-PPO,40.0,42,baseline,68.25,114.8
45056,TEL-PPO,40.0,42,baseline,66.21,117.09
49152,TEL-PPO,40.0,42,baseline,63.91,119.77
53248,TEL-PPO,40.0,42,baseline,62.11,121.87
57344,TEL-PPO,40.0,42,baseline,60.12,124.23
61440,TEL-PPO,40.0,42,baseline,58.38,126.32
65536,TEL-PPO,40.0,42,baseline,56.72,128.5
69632,TEL-PPO,40.0,42,baseline,55.26,130.6
73728,TEL-PPO,40.0,42,baseline,54.17,132.33
77824,TEL-PPO,40.0,42,baseline,53.33,133.97
81920,TEL-PPO,40.0,42,baseline,106.91,274.25
86016,TEL-PPO,40.0,42,baseline,161.3,419.13
90112,TEL-PPO,40.0,42,baseline,217.1,569.09
94208,TEL-PPO,40.0,42,baseline,274.88,725.17
98304,TEL-PPO,40.0,42,baseline,334.66,886.52
102400,TEL-PPO,40.0,42,baseline,396.47,1050.1
106496,TEL-PPO,40.0,42,baseline,460.59,1217.97
110592,TEL-PPO,40.0,42,baseline,526.65,1395.3
114688,TEL-PPO,40.0,42,baseline,595.36,1580.19
118784,TEL-PPO,40.0,42,baseline,665.84,1766.86
122880,TEL-PPO,40.0,42,baseline,737.53,1960.71
126976,TEL-PPO,40.0,42,baseline,815.79,2159.68
131072,TEL-PPO,40.0,42,baseline,895.99,2368.68
135168,TEL-PPO,40.0,42,baseline,974.14,2589.58
139264,TEL-PPO,40.0,42,baseline,1060.67,2811.27
143360,TEL-PPO,40.0,42,baseline,1145.46,3048.5
147456,TEL-PPO,40.0,42,baseline,1239.1,3282.58
151552,TEL-PPO,40.0,42,baseline,1328.1,3533.21
155648,TEL-PPO,40.0,42,baseline,1418.68,3779.4
159744,TEL-PPO,40.0,42,baseline,1513.96,4028.1
163840,TEL-PPO,40.0,42,baseline,1612.31,4300.1
167936,TEL-PPO,40.0,42,baseline,1719.61,4565.82
172032,TEL-PPO,40.0,42,baseline,1820.26,4836.38
176128,TEL-PPO,40.0,42,baseline,1934.48,5129.49
180224,TEL-PPO,40.0,42,baseline,2042.61,5413.16
184320,TEL-PPO,40.0,42,baseline,2148.45,5698.96
188416,TEL-PPO,40.0,42,baseline,2272.12,6047.22
192512,TEL-PPO,40.0,42,baseline,2395.82,6396.42
196608,TEL-PPO,40.0,42,baseline,2513.07,6741.6
200704,TEL-PPO,40.0,42,baseline,2636.82,7042.57
204800,TEL-PPO,40.0,42,baseline,2750.69,7357.92
208896,TEL-PPO,40.0,42,baseline,2857.24,7672.53
212992,TEL-PPO,40.0,42,baseline,2980.04,8006.76
217088,TEL-PPO,40.0,42,baseline,3111.35,8367.26
221184,TEL-PPO,40.0,42,baseline,3230.54,8706.3
225280,TEL-PPO,40.0,42,baseline,3357.51,9058.35
229376,TEL-PPO,40.0,42,baseline,3489.73,9432.85
233472,TEL-PPO,40.0,42,baseline,3656.46,9858.34
237568,TEL-PPO,40.0,42,baseline,3815.87,10252.84
241664,TEL-PPO,40.0,42,baseline,3943.56,10555.35
245760,TEL-PPO,40.0,42,baseline,4075.55,10884.78
249856,TEL-PPO,40.0,42,baseline,4192.16,11186.58
253952,TEL-PPO,40.0,42,baseline,4311.63,11529.77
258048,TEL-PPO,40.0,42,baseline,4428.71,11835.4
262144,TEL-PPO,40.0,42,baseline,4556.07,12131.4
266240,TEL-PPO,40.0,42,baseline,4684.16,12375.21
270336,TEL-PPO,40.0,42,baseline,4807.95,12691.39
274432,TEL-PPO,40.0,42,baseline,4934.71,13001.96
278528,TEL-PPO,40.0,42,baseline,5034.1,13298.02
282624,TEL-PPO,40.0,42,baseline,5168.03,13612.01
286720,TEL-PPO,40.0,42,baseline,5207.13,13726.52
290816,TEL-PPO,40.0,42,baseline,5233.71,13864.71
294912,TEL-PPO,40.0,42,baseline,5231.95,13916.96
299008,TEL-PPO,40.0,42,baseline,5256.02,13917.7
303104,TEL-PPO,40.0,42,baseline,5277.65,14027.21
307200,TEL-PPO,40.0,42,baseline,5269.88,13979.43
311296,TEL-PPO,40.0,42,baseline,5261.2,14015.13
315392,TEL-PPO,40.0,42,baseline,5275.7,14050.65
319488,TEL-PPO,40.0,42,baseline,5300.0,14077.9
323584,TEL-PPO,40.0,42,baseline,5314.08,14115.3
327680,TEL-PPO,40.0,42,baseline,5341.39,14175.1
331776,TEL-PPO,40.0,42,baseline,5368.29,14180.06
335872,TEL-PPO,40.0,42,baseline,5393.03,14246.23
339968,TEL-PPO,40.0,42,baseline,5391.38,14238.8
344064,TEL-PPO,40.0,42,baseline,5371.68,14268.94
348160,TEL-PPO,40.0,42,baseline,5383.35,14310.44
352256,TEL-PPO,40.0,42,baseline,5419.86,14382.16
356352,TEL-PPO,40.0,42,baseline,5448.7,14423.39
360448,TEL-PPO,40.0,42,baseline,5467.22,14476.23
364544,TEL-PPO,40.0,42,baseline,5458.08,14519.41
368640,TEL-PPO,40.0,42,baseline,5468.09,14603.53
372736,TEL-PPO,40.0,42,baseline,5489.4,14688.97
376832,TEL-PPO,40.0,42,baseline,5518.05,14726.44
380928,TEL-PPO,40.0,42,baseline,5576.49,14901.59
385024,TEL-PPO,40.0,42,baseline,5586.03,14997.61
389120,TEL-PPO,40.0,42,baseline,5619.6,15128.05
393216,TEL-PPO,40.0,42,baseline,5637.37,15187.87
397312,TEL-PPO,40.0,42,baseline,5621.41,15229.2
401408,TEL-PPO,40.0,42,baseline,5613.14,15266.56
405504,TEL-PPO,40.0,42,baseline,5602.76,15298.13
409600,TEL-PPO,40.0,42,baseline,5611.34,15337.17
413696,TEL-PPO,40.0,42,baseline,5599.27,15378.25
417792,TEL-PPO,40.0,42,baseline,5606.93,15440.05
421888,TEL-PPO,40.0,42,baseline,5602.91,15495.55
425984,TEL-PPO,40.0,42,baseline,5639.59,15556.3
430080,TEL-PPO,40.0,42,baseline,5667.17,15629.07
434176,TEL-PPO,40.0,42,baseline,5682.9,15660.05
438272,TEL-PPO,40.0,42,baseline,5714.14,15669.53
442368,TEL-PPO,40.0,42,baseline,5728.69,15731.38
446464,TEL-PPO,40.0,42,baseline,5766.68,15817.61
450560,TEL-PPO,40.0,42,baseline,5813.65,15921.54
454656,TEL-PPO,40.0,42,baseline,5854.49,15960.12
458752,TEL-PPO,40.0,42,baseline,5851.31,16041.65
462848,TEL-PPO,40.0,42,baseline,5897.88,16156.64
466944,TEL-PPO,40.0,42,baseline,5938.56,16214.67
471040,TEL-PPO,40.0,42,baseline,5949.62,16293.08
475136,TEL-PPO,40.0,42,baseline,5965.06,16322.4
479232,TEL-PPO,40.0,42,baseline,5976.36,16347.52
483328,TEL-PPO,40.0,42,baseline,5970.56,16375.9
487424,TEL-PPO,40.0,42,baseline,5982.69,16397.58
491520,TEL-PPO,40.0,42,baseline,5996.99,16432.01
495616,TEL-PPO,40.0,42,baseline,6028.38,16419.04
499712,TEL-PPO,40.0,42,baseline,6047.18,16431.49
503808,TEL-PPO,40.0,42,baseline,6082.2,16555.48
507904,TEL-PPO,40.0,42,baseline,6119.97,16607.6
512000,TEL-PPO,40.0,42,baseline,6131.15,16690.49
516096,TEL-PPO,40.0,42,baseline,6140.92,16736.09
520192,TEL-PPO,40.0,42,baseline,6166.7,16758.63
524288,TEL-PPO,40.0,42,baseline,6189.0,16729.44
528384,TEL-PPO,40.0,42,baseline,6181.67,16775.18
532480,TEL-PPO,40.0,42,baseline,6193.78,16792.27
536576,TEL-PPO,40.0,42,baseline,6190.33,16840.84
540672,TEL-PPO,40.0,42,baseline,6212.57,16830.99
544768,TEL-PPO,40.0,42,baseline,6226.8,16850.56
548864,TEL-PPO,40.0,42,baseline,6247.26,16881.37
552960,TEL-PPO,40.0,42,baseline,6239.85,16929.23
557056,TEL-PPO,40.0,42,baseline,6252.28,16944.41
561152,TEL-PPO,40.0,42,baseline,6232.73,17000.03
565248,TEL-PPO,40.0,42,baseline,6216.48,17032.82
569344,TEL-PPO,40.0,42,baseline,6233.33,17039.71
573440,TEL-PPO,40.0,42,baseline,6259.34,17161.77
577536,TEL-PPO,40.0,42,baseline,6290.61,17209.78
581632,TEL-PPO,40.0,42,baseline,6317.14,17193.07
585728,TEL-PPO,40.0,42,baseline,6327.69,17242.71
589824,TEL-PPO,40.0,42,baseline,6334.49,17308.17
593920,TEL-PPO,40.0,42,baseline,6345.96,17375.66
598016,TEL-PPO,40.0,42,baseline,6350.54,17462.74
602112,TEL-PPO,40.0,42,baseline,6327.03,17516.8
606208,TEL-PPO,40.0,42,baseline,6320.56,17609.2
610304,TEL-PPO,40.0,42,baseline,6369.66,17675.22
614400,TEL-PPO,40.0,42,baseline,6361.68,17755.52
618496,TEL-PPO,40.0,42,baseline,6356.69,17816.96
622592,TEL-PPO,40.0,42,baseline,6348.04,17846.29
626688,TEL-PPO,40.0,42,baseline,6365.24,17899.7
630784,TEL-PPO,40.0,42,baseline,6407.32,17941.64
634880,TEL-PPO,40.0,42,baseline,6415.88,18026.7
638976,TEL-PPO,40.0,42,baseline,6449.22,18080.07
643072,TEL-PPO,40.0,42,baseline,6476.55,18111.73
647168,TEL-PPO,40.0,42,baseline,6514.25,18115.55
651264,TEL-PPO,40.0,42,baseline,6537.82,18124.7
655360,TEL-PPO,40.0,42,baseline,6560.47,18147.99
659456,TEL-PPO,40.0,42,baseline,6604.43,18221.43
663552,TEL-PPO,40.0,42,baseline,6611.93,18299.53
667648,TEL-PPO,40.0,42,baseline,6591.89,18356.36
671744,TEL-PPO,40.0,42,baseline,6612.63,18383.98
675840,TEL-PPO,40.0,42,baseline,6641.92,18429.93
679936,TEL-PPO,40.0,42,baseline,6628.58,18498.2
684032,TEL-PPO,40.0,42,baseline,6613.11,18531.0
688128,TEL-PPO,40.0,42,baseline,6623.48,18562.08
692224,TEL-PPO,40.0,42,baseline,6644.28,18556.45
696320,TEL-PPO,40.0,42,baseline,6664.68,18590.3
700416,TEL-PPO,40.0,42,baseline,6693.72,18578.06
704512,TEL-PPO,40.0,42,baseline,6700.39,18633.58
708608,TEL-PPO,40.0,42,baseline,6714.26,18672.68
712704,TEL-PPO,40.0,42,baseline,6743.86,18699.82
716800,TEL-PPO,40.0,42,baseline,6744.79,18752.96
720896,TEL-PPO,40.0,42,baseline,6728.83,18805.75
724992,TEL-PPO,40.0,42,baseline,6746.22,18870.27
729088,TEL-PPO,40.0,42,baseline,6767.5,18949.89
733184,TEL-PPO,40.0,42,baseline,6793.0,18993.02
737280,TEL-PPO,40.0,42,baseline,6814.21,18996.63
741376,TEL-PPO,40.0,42,baseline,6825.71,19043.59
745472,TEL-PPO,40.0,42,baseline,6847.88,19102.68
749568,TEL-PPO,40.0,42,baseline,6872.66,19129.37
753664,TEL-PPO,40.0,42,baseline,6896.22,19187.0
757760,TEL-PPO,40.0,42,baseline,6929.21,19233.7
761856,TEL-PPO,40.0,42,baseline,6949.21,19229.08
765952,TEL-PPO,40.0,42,baseline,6953.75,19282.65
770048,TEL-PPO,40.0,42,baseline,6962.14,19325.12
774144,TEL-PPO,40.0,42,baseline,6970.34,19356.78
778240,TEL-PPO,40.0,42,baseline,7004.99,19333.48
782336,TEL-PPO,40.0,42,baseline,7026.53,19305.49
786432,TEL-PPO,40.0,42,baseline,7031.95,19341.5
790528,TEL-PPO,40.0,42,baseline,7056.68,19370.61
794624,TEL-PPO,40.0,42,baseline,7051.98,19426.34
798720,TEL-PPO,40.0,42,baseline,7073.45,19471.45
802816,TEL-PPO,40.0,42,baseline,7084.62,19595.38
806912,TEL-PPO,40.0,42,baseline,7079.28,19641.56
811008,TEL-PPO,40.0,42,baseline,7113.12,19694.17
815104,TEL-PPO,40.0,42,baseline,7141.13,19666.77
819200,TEL-PPO,40.0,42,baseline,7166.6,19648.96
823296,TEL-PPO,40.0,42,baseline,7183.93,19663.19
827392,TEL-PPO,40.0,42,baseline,7212.79,19626.42
831488,TEL-PPO,40.0,42,baseline,7218.24,19647.81
835584,TEL-PPO,40.0,42,baseline,7238.23,19663.27
839680,TEL-PPO,40.0,42,baseline,7254.41,19672.71
843776,TEL-PPO,40.0,42,baseline,7249.45,19678.18
847872,TEL-PPO,40.0,42,baseline,7274.64,19680.15
851968,TEL-PPO,40.0,42,baseline,7299.16,19680.02
856064,TEL-PPO,40.0,42,baseline,7312.67,19738.62
860160,TEL-PPO,40.0,42,baseline,7318.86,19817.52
864256,TEL-PPO,40.0,42,baseline,7343.61,19838.35
868352,TEL-PPO,40.0,42,baseline,7359.52,19857.98
872448,TEL-PPO,40.0,42,baseline,7382.83,19828.31
876544,TEL-PPO,40.0,42,baseline,7395.3,19861.72
880640,TEL-PPO,40.0,42,baseline,7434.65,19974.84
884736,TEL-PPO,40.0,42,baseline,7460.18,19972.44
888832,TEL-PPO,40.0,42,baseline,7488.71,20011.64
892928,TEL-PPO,40.0,42,baseline,7482.33,20062.15
897024,TEL-PPO,40.0,42,baseline,7471.17,20105.68
901120,TEL-PPO,40.0,42,baseline,7483.02,20114.08
905216,TEL-PPO,40.0,42,baseline,7469.46,20130.19
909312,TEL-PPO,40.0,42,baseline,7490.45,20128.19
913408,TEL-PPO,40.0,42,baseline,7520.21,20201.29
917504,TEL-PPO,40.0,42,baseline,7552.49,20248.88
921600,TEL-PPO,40.0,42,baseline,7547.1,20288.48
925696,TEL-PPO,40.0,42,baseline,7560.45,20271.58
929792,TEL-PPO,40.0,42,baseline,7566.91,20280.46
933888,TEL-PPO,40.0,42,baseline,7578.92,20284.07
937984,TEL-PPO,40.0,42,baseline,7580.85,20298.92
942080,TEL-PPO,40.0,42,baseline,7605.92,20286.38
946176,TEL-PPO,40.0,42,baseline,7604.08,20311.86
950272,TEL-PPO,40.0,42,baseline,7618.45,20292.89
954368,TEL-PPO,40.0,42,baseline,7632.09,20291.05
958464,TEL-PPO,40.0,42,baseline,7635.06,20325.36
962560,TEL-PPO,40.0,42,baseline,7627.4,20371.71
966656,TEL-PPO,40.0,42,baseline,7615.93,20419.69
970752,TEL-PPO,40.0,42,baseline,7642.25,20424.99
974848,TEL-PPO,40.0,42,baseline,7632.27,20473.54
978944,TEL-PPO,40.0,42,baseline,7642.39,20545.68
983040,TEL-PPO,40.0,42,baseline,7672.16,20583.73
987136,TEL-PPO,40.0,42,baseline,7688.71,20610.88
991232,TEL-PPO,40.0,42,baseline,7715.27,20630.91
995328,TEL-PPO,40.0,42,baseline,7744.4,20610.88
999424,TEL-PPO,40.0,42,baseline,7741.07,20666.22
1003520,TEL-PPO,40.0,42,baseline,7757.98,20701.8
1007616,TEL-PPO,40.0,42,baseline,7741.22,20761.56
1011712,TEL-PPO,40.0,42,baseline,7777.65,20747.78
1015808,TEL-PPO,40.0,42,baseline,7779.35,20858.64
1019904,TEL-PPO,40.0,42,baseline,7805.5,20918.84
1024000,TEL-PPO,40.0,42,baseline,7793.37,20961.05
1028096,TEL-PPO,40.0,42,baseline,7820.98,20961.45
1032192,TEL-PPO,40.0,42,baseline,7850.34,20972.33
1036288,TEL-PPO,40.0,42,baseline,7883.38,20958.7
1040384,TEL-PPO,40.0,42,baseline,7902.54,20939.09
1044480,TEL-PPO,40.0,42,baseline,7906.91,20959.94
1048576,TEL-PPO,40.0,42,baseline,7939.16,20997.94
1052672,TEL-PPO,40.0,42,baseline,7969.3,21064.28
1056768,TEL-PPO,40.0,42,baseline,8006.59,21062.39
1060864,TEL-PPO,40.0,42,baseline,7991.32,21105.63
1064960,TEL-PPO,40.0,42,baseline,8006.13,21123.22
1069056,TEL-PPO,40.0,42,baseline,7984.88,21091.76
1073152,TEL-PPO,40.0,42,baseline,7971.79,21092.91
1077248,TEL-PPO,40.0,42,baseline,7983.55,21070.1
1081344,TEL-PPO,40.0,42,baseline,8007.27,21036.94
1085440,TEL-PPO,40.0,42,baseline,8023.34,21073.47
1089536,TEL-PPO,40.0,42,baseline,8071.36,21254.19
1093632,TEL-PPO,40.0,42,baseline,8110.27,21322.0
1097728,TEL-PPO,40.0,42,baseline,8123.89,21379.75
1101824,TEL-PPO,40.0,42,baseline,8147.85,21411.38
1105920,TEL-PPO,40.0,42,baseline,8161.47,21432.25
1110016,TEL-PPO,40.0,42,baseline,8167.01,21474.3
1114112,TEL-PPO,40.0,42,baseline,8192.47,21476.07
1118208,TEL-PPO,40.0,42,baseline,8205.47,21489.31
1122304,TEL-PPO,40.0,42,baseline,8232.72,21451.79
1126400,TEL-PPO,40.0,42,baseline,8238.83,21463.55
1130496,TEL-PPO,40.0,42,baseline,8228.67,21496.92
1134592,TEL-PPO,40.0,42,baseline,8231.4,21513.11
1138688,TEL-PPO,40.0,42,baseline,8250.46,21505.13
1142784,TEL-PPO,40.0,42,baseline,8251.11,21555.46
1146880,TEL-PPO,40.0,42,baseline,8254.6,21567.32
1150976,TEL-PPO,40.0,42,baseline,8247.98,21558.19
1155072,TEL-PPO,40.0,42,baseline,8221.12,21588.86
1159168,TEL-PPO,40.0,42,baseline,8204.09,21624.28
1163264,TEL-PPO,40.0,42,baseline,8207.42,21662.23
1167360,TEL-PPO,40.0,42,baseline,8215.69,21691.68
1171456,TEL-PPO,40.0,42,baseline,8207.64,21736.45
1175552,TEL-PPO,40.0,42,baseline,8219.19,21820.63
1179648,TEL-PPO,40.0,42,baseline,8233.0,21859.79
1183744,TEL-PPO,40.0,42,baseline,8229.36,21903.53
1187840,TEL-PPO,40.0,42,baseline,8201.22,21963.59
1191936,TEL-PPO,40.0,42,baseline,8229.96,21935.42
1196032,TEL-PPO,40.0,42,baseline,8226.1,21955.97
1200128,TEL-PPO,40.0,42,baseline,8242.54,21961.62
1204224,TEL-PPO,40.0,42,baseline,8255.59,22016.97
1208320,TEL-PPO,40.0,42,baseline,8295.0,22058.56
1212416,TEL-PPO,40.0,42,baseline,8334.57,22056.13
1216512,TEL-PPO,40.0,42,baseline,8355.61,22123.83
1220608,TEL-PPO,40.0,42,baseline,8403.04,22234.52
1224704,TEL-PPO,40.0,42,baseline,8436.18,22375.34
1228800,TEL-PPO,40.0,42,baseline,8422.81,22458.46
1232896,TEL-PPO,40.0,42,baseline,8443.51,22525.84
1236992,TEL-PPO,40.0,42,baseline,8474.9,22559.8
1241088,TEL-PPO,40.0,42,baseline,8516.66,22654.25
1245184,TEL-PPO,40.0,42,baseline,8540.71,22709.0
1249280,TEL-PPO,40.0,42,baseline,8575.78,22693.7
1253376,TEL-PPO,40.0,42,baseline,8593.29,22700.24
1257472,TEL-PPO,40.0,42,baseline,8641.41,22844.71
1261568,TEL-PPO,40.0,42,baseline,8681.29,22940.6
1265664,TEL-PPO,40.0,42,baseline,8696.33,22998.94
1269760,TEL-PPO,40.0,42,baseline,8679.38,23066.59
